concept_id,topic_id,module_id,concept,paper_question_count,subquestion_count,question_assignment_count,year_count,recent_year_count,exam_years,recent_years,subjective_count,comprehensive_count,total_score,weighted_score,weighted_paper_count,weighted_subquestion_count,weighted_year_count,weighted_recent_year_count,core_score,priority_rank,importance_level,trend,evidence_mix,question_ids
m03,governance-monitoring,governance,环境质量评价与监测指标,12,4,13,8,4,"2012,2014,2017,2020,2021,2022,2024,2025","2021,2022,2024,2025",13,5,32,28.4,10.7,4.0,7.1,4.0,69.84,1,core,长期稳定高频,question_confirmed=9; topic_confirmed=2; answer_confirmed=2,"2025-SA-01,2025-SA-05,2025-CA-01-2,2025-CA-02-2,2025-CA-02-3,2014-N-02,2017-CA-01,2020-N-02,2020-SA-03,2021-SA-07,2022-SA-04,2024-CA-01-2,2012-SA-02"
s01,soil-risk,soil_agriculture,土壤重金属形态与迁移,14,3,15,7,3,"2012,2014,2015,2019,2023,2024,2025","2023,2024,2025",10,4,16,12.0,12.1,3.0,5.75,2.75,69.095,2,core,长期稳定高频,question_confirmed=9; topic_confirmed=5; inferred=1,"2025-J-02,2025-S-03,2025-SA-06,2025-CA-02-1,2014-SA-04,2015-SA-01,2019-CA-01,2023-J-01,2024-J-01,2024-S-01,2024-S-02,2024-SA-02,2024-CA-01-1,2024-CA-01-2,2012-SA-05"
g03,agriculture-ecology,soil_agriculture,生态农业、循环与生物多样性,7,0,7,7,4,"2012,2013,2019,2022,2023,2024,2025","2022,2023,2024,2025",7,1,46,35.8,5.7,0,5.7,3.75,38.27,3,core,长期稳定高频,question_confirmed=3; topic_confirmed=2; answer_confirmed=2,"2025-SA-02,2013-SA-01,2019-N-01,2022-SA-07,2023-L-02,2024-SA-01,2012-N-05"
e03,governance-planning,governance,环境规划与方案决策,8,0,8,7,2,"2012,2013,2015,2017,2018,2023,2025","2023,2025",8,3,58,44.1,5.9,0,5.3,2.0,38.21,4,core,长期稳定但近期下降,question_confirmed=2; topic_confirmed=2; answer_confirmed=4,"2025-SA-05,2013-N-05,2015-CA-02,2017-N-02,2017-CA-01,2018-N-02,2023-CA-01,2012-N-02"
w02,water-treatment,water,活性污泥法,7,1,7,4,3,"2013,2022,2024,2025","2022,2024,2025",6,2,23,19.8,5.95,1.0,3.6,3.0,36.66,5,core,近年升温,question_confirmed=5; answer_confirmed=1; inferred=1,"2025-S-01,2025-SA-03,2025-CA-01-1,2013-N-03,2022-L-01,2024-J-03,2024-SA-03"
w08,water-ecology,water,富营养化与氮磷负荷,6,0,6,6,4,"2012,2018,2022,2023,2024,2025","2022,2023,2024,2025",4,1,38,36.0,5.5,0,5.5,4.0,36.51,6,core,长期稳定高频,question_confirmed=4; topic_confirmed=2,"2025-J-06,2018-SA-02,2022-SA-07,2023-L-01,2024-S-06,2012-SA-04"
s04,soil-risk,soil_agriculture,生物有效性与食物链风险,7,1,7,5,2,"2012,2019,2020,2021,2025","2021,2025",6,2,12,7.2,5.95,1.0,3.95,2.0,35.965,7,core,周期性,question_confirmed=4; topic_confirmed=1; answer_confirmed=2,"2025-S-02,2025-CA-02-1,2019-SA-01,2020-N-02,2021-SA-06,2021-L-02,2012-N-04"
r02,governance-solid,governance,固废焚烧、填埋与渗滤液,6,0,6,4,3,"2020,2021,2024,2025","2021,2024,2025",3,2,25,25.0,6.0,0,4.0,3.0,35.25,8,core,近年升温,question_confirmed=6,"2025-J-05,2025-S-05,2020-L-02,2021-CA-01,2024-J-04,2024-S-10"
f04,foundation-process,foundation,污染物迁移与暴露路径,8,0,8,6,1,"2012,2014,2015,2016,2019,2025",2025,8,1,8,6.0,5.95,0,4.75,1.0,34.585,9,core,长期稳定但近期下降,question_confirmed=1; topic_confirmed=5; answer_confirmed=2,"2025-SA-06,2014-N-01,2014-SA-04,2015-SA-01,2016-N-01,2016-SA-02,2019-CA-01,2012-SA-05"
r03,governance-solid,governance,清洁生产、源头减量与 3R,7,0,7,6,1,"2012,2013,2015,2017,2020,2022",2022,7,2,50,38.2,5.2,0,4.45,1.0,32.225,10,core,长期稳定但近期下降,question_confirmed=1; topic_confirmed=4; answer_confirmed=2,"2013-N-01,2015-L-01,2017-SA-01,2020-N-03,2022-SA-03,2012-SA-01,2012-L-01"
